station_id,station_id_3digit,station_code,guide_number,name_zh-hant,name_zh-hans,name_en,name_ko,name_ko_pinyin,name_ja,note_zh-hant,note_zh-hans,note_en,type,system,ipt_data_code
136,136,6803,APM 07,天河南,天河南,Tianhenan,천하남,톈허난,天河南,,,,metro_station,gzmtr,401442308JU0
137,137,6804,APM 06,黃埔大道,黄埔大道,Huangpu Dadao,황포대도,황푸다다오,黄ホ大道,,,,metro_station,gzmtr,2891133OKCKP
138,138,6805,APM 05,婦兒中心,妇儿中心,Guangzhou Women & Children’s Medical Center,부아중심,푸얼중신,婦児中心,,,,metro_station,gzmtr,72891023JFTI
139,139,6806,APM 04,花城大道,花城大道,Huacheng Dadao,화성대도,화청다다오,花城大道,,,,metro_station,gzmtr,63266225G8DT
140,140,6807,APM 03,大劇院,大剧院,Guangzhou Opera House,대극원,다쥐위안,大劇院,,,,metro_station,gzmtr,8394913IABR3
141,141,6808,APM 02,海心沙,海心沙,Haixinsha,해심사,하이신사,海心沙,,,,metro_station,gzmtr,4612635SXSMZ
142,142,0601,"6 01, ",潯峰崗,浔峰岗,Xunfenggang,심봉강,쉰펑강,潯峰崗,,,,metro_station,gzmtr,9119900D5SLM
143,143,0602,6 02,橫沙,横沙,Hengsha,횡사,헝사,横沙,,,,metro_station,gzmtr,2012351AB8IZ
144,144,0603,6 03,沙貝,沙贝,Shabei,사패,사베이,沙貝,,,,metro_station,gzmtr,7830264CU593
145,145,0604,6 04,河沙,河沙,Hesha,하사,허사,河沙,,,,metro_station,gzmtr,8480433NOI4D
146,146,0606,6 06,如意坊,如意坊,Ruyifang,여의방,루이팡,如意坊,,,,metro_station,gzmtr,4873854BMH6Z
147,147,0608,"6 08,8 14",文化公園,文化公园,Cultural Park,문화공원,원화궁위안,文化公園,,,,metro_station,gzmtr,65844768F19F
148,148,0609,6 09,一德路,一德路,Yide Lu,일덕로,이더루,一徳路,,,,metro_station,gzmtr,3818558G5R6E
149,149,0611,6 11,北京路,北京路,Beijing Lu,북경로,베이징루,北京路,,,,metro_station,gzmtr,117749446I0V
150,150,0612,6 12,團一大廣場,团一大广场,Tuanyida Square,단일대광장,퇀이다광창,団一大広場,,,,metro_station,gzmtr,1220334T1QW3
151,151,0613,"6 13, ",東湖,东湖,Donghu,동호,둥후,東湖,,,,metro_station,gzmtr,2277171YMKPQ
152,152,0616,6 16,黃花崗,黄花岗,Huanghuagang,황화강,황화강,黄花崗,,,,metro_station,gzmtr,620604645W3J
153,153,0617,6 17,沙河頂,沙河顶,Shaheding,사하정,사허딩,沙河頂,,,,metro_station,gzmtr,2846845QIK8E
154,154,,6 18,沙河,沙河,Shahe,사하,사허,沙河,未開通,未开通,Under construction,metro_station,gzmtr,
155,155,0619,6 19,天平架,天平架,Tianpingjia,천평가,톈핑자,天平架,,,,metro_station,gzmtr,0988792JUTRM
156,156,0622,6 22,長湴,长湴,Changban,장밤,창반,長バン,,,,metro_station,gzmtr,09421445FPS4
157,157,6018,GF 22,燕崗,燕岗,Yangang,연강,옌강,燕崗,,,,metro_station,gzmtr,1981408INDPY
158,158,6016,GF 20,沙涌,沙涌,Shachong,사용,사충,沙涌,,,,metro_station,gzmtr,3161856HUBG8
159,159,6015,GF 19,鶴洞,鹤洞,Hedong,학동,허둥,鶴洞,,,,metro_station,gzmtr,1441988HD9J6
160,160,0623,6 23,植物園,植物园,Botanical Garden,식물원,즈우위안,植物園,,,,metro_station,gzmtr,92151191B6HA
161,161,0624,6 24,龍洞,龙洞,Longdong,용동,룽둥,竜洞,,,,metro_station,gzmtr,828604264OL6
162,162,0625,6 25,柯木塱,柯木塱,Kemulang,가목랑,커무랑,柯木ロウ,,,,metro_station,gzmtr,7697272K6GUD
163,163,0626,6 26,高塘石,高塘石,Gaotangshi,고당석,가오탕스,高塘石,,,,metro_station,gzmtr,288649236CHW
164,164,0627,6 27,黃陂,黄陂,Huangbei,황피,황베이,黄陂,,,,metro_station,gzmtr,8303475FA82R
165,165,0628,6 28,金峰,金峰,Jinfeng,금봉,진펑,金峰,,,,metro_station,gzmtr,6108003745YO
166,166,0629,6 29,暹崗,暹岗,Xiangang,섬강,셴강,暹崗,,,,metro_station,gzmtr,5869226Z8E7C
167,167,0630,"6 30,21 09",蘇元,苏元,Suyuan,소원,쑤위안,蘇元,,,,metro_station,gzmtr,2674570AODKP
168,168,0631,6 31,蘿崗,萝岗,Luogang,나강,뤄강,蘿崗,,,,metro_station,gzmtr,9516574DOGWC
169,169,0632,6 32,香雪,香雪,Xiangxue,향설,샹쉐,香雪,,,,metro_station,gzmtr,0509766HVGJG
170,170,0703,7 03,謝村,谢村,Xiecun,사촌,셰춘,謝村,,,,metro_station,gzmtr,4435140V83QA
171,171,0704,7 04,鍾村,钟村,Zhongcun,종촌,중춘,鍾村,,,,metro_station,gzmtr,8108969YTYOJ
172,172,"0706,1806","7 06,18 04",南村萬博,南村万博,Nancun Wanbo,남촌만박,난춘완보,南村万博,,,,metro_station,gzmtr,6223999ZTQRD
173,173,0707,7 07,員崗,员岗,Yuangang,원강,위안강,員崗,,,,metro_station,gzmtr,023296504FIE
174,174,0708,7 08,板橋,板桥,Banqiao,판교,반차오,板橋,,,,metro_station,gzmtr,5377204YH37Q
175,175,6022,GF 04,瀾石,澜石,Lanshi,난석,란스,瀾石,,,,metro_station,gzmtr,4539431KA4MP
176,176,6023,GF 03,世紀蓮,世纪莲,Shijilian,세기련,스지롄,世紀蓮,,,,metro_station,gzmtr,9215471CJTWN
177,177,6024,GF 02,東平,东平,Dongping,동평,둥핑,東平,,,,metro_station,gzmtr,2001444OJCTW
178,178,6025,GF 01,新城東,新城东,Xincheng Dong,신성동,신청둥,新城東,,,,metro_station,gzmtr,57471415DZ6D
179,179,0901,9 01,飛鵝嶺,飞鹅岭,Fei’eling,비아령,페이어링,飛鵞嶺,,,,metro_station,gzmtr,4376238LLHQT
180,180,0902,9 02,花都汽車城,花都汽车城,Huadu Auto Center,화두자동차센터,화두치처청,花都汽車城,,,,metro_station,gzmtr,0902688F0WU4
181,181,0903,9 03,廣州北站,广州北站,Guangzhou North Railway Station,광저우북역,광저우베이잔,広州北駅,,,,metro_station,gzmtr,32576559Y4TE
182,182,0904,9 04,花城路,花城路,Huacheng Lu,화성로,화청루,花城路,,,,metro_station,gzmtr,92215826L2L9
183,183,0905,9 05,花果山公園,花果山公园,Huaguoshan Park,화과산공원,화궈산궁위안,花果山公園,,,,metro_station,gzmtr,9959873H8C37
184,184,0906,9 06,花都廣場,花都广场,Huadu Square,화두광장,화두광창,花都広場,,,,metro_station,gzmtr,8584388C6BUG
185,185,0907,9 07,馬鞍山公園,马鞍山公园,Ma'anshan Park,마안산공원,마안산궁위안,馬鞍山公園,,,,metro_station,gzmtr,9509093EYZAW
186,186,0908,9 08,蓮塘,莲塘,Liantang,연당,롄탕,蓮塘,,,,metro_station,gzmtr,601950630WLH
187,187,0909,9 09,清㘵,清㘵,Qingbu,청포,칭부,清フ,,,,metro_station,gzmtr,690268334QZC
188,188,0910,9 10,清塘,清塘,Qingtang,청당,칭탕,清塘,,,,metro_station,gzmtr,73978096THU1
189,189,3001,3 30,機場北,机场北,Airport North,공항북,지창베이,空港北,2號航站樓,2号航站楼,Terminal 2,metro_station,gzmtr,7038825S07VZ
190,190,0421,4 06,飛沙角,飞沙角,Feishajiao,비사각,페이사자어,飛沙角,,,,metro_station,gzmtr,7083916Y5K5B
191,191,0422,4 05,廣隆,广隆,Guanglong,광륭,광룽,広隆,,,,metro_station,gzmtr,0373404AO3TE
192,192,0423,4 04,大涌,大涌,Dachong,대용,다충,大涌,,,,metro_station,gzmtr,9650940JQTCG
193,193,0424,4 03,塘坑,塘坑,Tangkeng,당갱,탕컹,塘坑,,,,metro_station,gzmtr,76914520PKRD
194,194,0425,4 02,南橫,南横,Nanheng,남횡,난헝,南横,,,,metro_station,gzmtr,16962270JE02
195,195,0426,4 01,南沙客運港,南沙客运港,Nansha Passenger Port,난사객운항,난사커윈강,南沙客運港,,,,metro_station,gzmtr,615099995E5X
196,196,1302,13 02,裕豐圍,裕丰围,Yufengwei,유풍위,위펑웨이,裕豊囲,,,,metro_station,gzmtr,47310541O8L8
197,197,1303,13 03,雙崗,双岗,Shuanggang,쌍강,솽강,双崗,,,,metro_station,gzmtr,5582354407DU
198,198,1304,13 04,南海神廟,南海神庙,Nanhai God Temple,남해신묘,난하이선먀오,南海神廟,,,,metro_station,gzmtr,8998003SKX8Q
199,199,1305,13 05,夏園,夏园,Xiayuan,하원,샤위안,夏園,,,,metro_station,gzmtr,9441688GDR18
200,200,1306,13 06,南崗,南岗,Nangang,남강,난강,南崗,,,,metro_station,gzmtr,4428794VQ8TM
201,201,1307,13 07,沙村,沙村,Shacun,사촌,사춘,沙村,,,,metro_station,gzmtr,6821998EVQ9R
202,202,1308,13 08,白江,白江,Baijiang,백강,바이장,白江,,,,metro_station,gzmtr,8531315FK2VG
203,203,1309,13 09,新塘,新塘,Xintang,신당,신탕,新塘,,,,metro_station,gzmtr,1160596Q0MA9
204,204,1310,13 10,官湖,官湖,Guanhu,관호,관후,官湖,,,,metro_station,gzmtr,9745687FW0YD
205,205,1311,13 11,新沙,新沙,Xinsha,신사,신사,新沙,,,,metro_station,gzmtr,569575132FCK
206,206,"3201,1406",14 08,新和,新和,Xinhe,신화,신허,新和,,,,metro_station,gzmtr,9841214E7HH3
207,207,3202,14 14,紅衛,红卫,Hongwei,홍위,훙웨이,紅衛,,,,metro_station,gzmtr,5876432S7ERR
208,208,3203,14 15,新南,新南,Xinnan,신남,신난,新南,,,,metro_station,gzmtr,0537826XJTB4
209,209,3204,14 16,楓下,枫下,Fengxia,풍하,펑샤,楓下,,,,metro_station,gzmtr,312906851PIG
210,210,3205,14 17,知識城,知识城,Sino-Singapore Guangzhou Knowledge City,지식성,즈스청,知識城,,,,metro_station,gzmtr,02620255MQMA
211,211,3206,14 18,何棠下,何棠下,Hetangxia,하당하,허탕샤,何棠下,,,,metro_station,gzmtr,1295467GFCMK
212,212,3207,14 19,旺村,旺村,Wangcun,왕촌,왕춘,旺村,,,,metro_station,gzmtr,9263909WKXR2
213,213,3208,14 20,湯村,汤村,Tangcun,탕촌,탕춘,湯村,,,,metro_station,gzmtr,0142411627FW
